,text,DA
138,that's what that's a very good uh point.,S
143,if you of course if you put a zero uh weight zero on a mismatched condition or highly mismatched then then you are done.,S
148,well of course people will not like it.,S
226,i mean,D
336,but it's but for but for instance uh uh what what uh humans are very much capable of doing is that if if they are exactly the same thing happening in two neighboring critical bands recognition can discard it.,S
367,but if you if you if you modulate the noise the masking goes up and the moment you start hitting the another critical band the masking goes down.,S
375,huh.,B
435,so,F
436,huh.,B
458,what i think would be of course extremely useful if we can come to our next meeting and say well you know we did get fifty percent improvement.,S
482,i guess it could be even better.,S
499,and harry said yeah.,S
528,huh.,B
530,so but this is being now discussed right now.,S
547,we are around fifty fifty five.,S
550,yeah.,B
556,i don't know exactly if it's,D
563,but,F
564,uhhuh.,F
565,huh.,B
569,finally we we've not finished with this.,S
627,so,F
628,morgan was and he was he was saying well this might be the alternative way how to play with a with a fudge factor.,S
645,so we were coming with all these various lifters.,S
664,if you were at bell labs or i,D
676,but i wonder if there isn't some way of doing this uh search like when we are searching say for best discriminants.,S
686,everything is fixed.,S
763,it's the same same mean.,S
828,i see what you are saying.,S
832,uh no no i don't think that it would be the same.,S
887,so you so so you may want to do it other way around.,S
920,but i mean but it's it's it's do able.,S
996,chuck is getting himself in trouble.,S
1000,huh!,F
1049,it's it's this thing that's the shape of a bird and it has a red ball and its beak dips into the water.,S
1069,yeah.,B
1087,so they got in trouble.,S
1089,huh!,S
1136,exactly.,S
1154,yeah,B
1249,he said that it was like it was like just so many libraries and nobody knew what was used when.,S
1257,well the the only thing i would check is if he does he use intel math libraries.,S
1266,yeah.,B
1286,well there are at least there are optimized version for their architecture.,S
1307,hynek i don't know if you've ever done this.,S
1,so welcome to our next meeting.,S
21,it works like like this.,S
37,uh,F
38,well the research topics at this moment is uh i.p. eighty traffic monitoring and characterization and them uh tool developing tools uh for quality of service uh performance analysis.,S
46,uh,F
47,maybe it was my fault that i assumed that the pointer of miguel concerning u.m.t.s. services was deployed to everybody.,S
51,maybe we it's a homework in principle for the next meeting to get a little bit familiar with these things.,S
54,so i believe we will not have today a very hard technical discussion.,S
62,okay.,S
80,end to end communication is sometimes uh done by direct communication from one node to the other.,S
85,an intermediate or a set of intermediate nodes will route or will forward the packet from the sender to the destination.,S
87,uh in a sense what we have in this kind of networks is that uh nodes are as both arced as both uh endpoints and also routers of other neighboring nodes.,S
112,here you have several several uh proposed uh scenarios for for used this networks.,S
122,higher area could be covered could be explored.,S
131,these sensors can be for example uh checking that there is no fire.,S
140,well,F
141,you know it's an interesting question.,S
167,okay.,S
174,uh you know and finally uh another nonmilitary applications where uh maybe a network is available like for example a room like this.,S
188,the point or or the question could be for some of us the idea of saying okay.,S
194,it it seems that probably that the problem is is not an easy one.,S
252,no.,S
259,this is what is called a hidden terminal problem.,S
267,well some some protocols have been developed to avoid this problem and to try to address this particular behavior of wireless transmissions.,S
270,we are um reserving a certain and a specific uh area of space so we can guarantee that nobody is trying to use the same space at the same time.,S
272,this is the basic idea.,S
275,yeah.,S
289,of course this is only intended for unicast transmissions.,S
303,yes.,S
311,in fact forcing the receiver to transmit for a short period of time is also uh used to signal all the uh receiver neighbors that a a reception is taking place.,S
314,i didn't get it.,S
334,so it's only related to the direct neighbor within the scope of the transmissions.,S
356,fine.,S
359,if that way we can warranty that there is there are there is no collision uh uh between data packet well this this is this means a a huge uh increase in network throughput.,S
373,if reservation doesn't work okay if uh one reservation don't succeed then uh this transmission should have to wait.,S
415,if now two has uh huh answer with the with the c.t.s. it will be waiting until the data that has to come.,S
453,you cannot usually you cannot uh read the data packet until you the reception is over.,S
466,um a further question.,S
469,that's okay.,S
488,in fact this node will avoid any further transmission until uh this reception that will start in in a moment is over.,S
534,okay.,F
535,and in fact uh there is another detail.,S
540,when you hear one uh c.t.s. or one uh r.t.s. packet you know that the frame that they are trying to transmit or that this one is trying to transmit this one is about to receive you know the length.,S
566,yeah.,F
567,but the but in this case you know this this idea this uh geometric idea can be can be if you want uh deformed because of some obstacles.,S
573,if they,D
579,okay.,F
580,so that was my question.,S
598,uhhuh.,B
603,in a,D
638,but this this this is not our scenario.,S
640,in our scenario all the nodes are exactly the same.,S
646,this is not a problem for us.,S
650,you know the idea is that this mechanism is a reservation mechanism.,S
656,our first uh work in this area was to study different mechanisms to try to adjust these transmission values.,S
668,first point what we have proposed is a way to obtain the transmission range uh for uh for an escenario where we know the number of nodes.,S
713,these guys are doing uh what they call uh b. connected networks.,S
741,in one,D
772,okay.,S
782,it should be something ipsh,D
785,thirty meters per second.,S
811,uh even if nodes are completely static uh some problems will happen in the wireless transmission.,S
813,we won't have a hundred percent uh perfect uh channel anyway.,S
819,that's really right.,S
843,in fact uh nnn some people proposing this mechanism is is showing a a a big improvement.,S
893,but again uh you know uh the the,D
937,okay.,S
961,at the end of the road we have to uh look for some tradeoffs to avoid too much uh interference at the receivers.,S
967,the frame error rate or the bit error rate uh skyrockets.,S
984,at this moment there are i would say a lot of proposals of different protocols uh for uh end to end traffic.,S
992,the problem here is that now uh one node is my neighbor.,S
998,if you let me a personal comment i think that one error on the group is not to agree a set of mobility patterns to to do the the tests.,S
1021,these proposals are are trying to get the advantages of both uh mechanisms.,S
1047,you can have the destinations you would like to or the in the i.p. addresses of the intermediate nodes you still know.,S
1053,this one is going then to this guy and so on and so on.,S
1062,okay i see.,S
1097,uh i'm sure that the proposals are okay.,S
1173,and miguel should i should ask you one question.,S
1225,you know,D
1238,slow signals.,S
1262,huh,F
1263,both uh dialing sequence and frequency hopping spread the spectrum techniques are also intended to provide uh interference uh less uh data transmission.,S
1271,assuming that another bluetooth or several bluetooth networks will be could be in the same area of space,D
1345,uhhuh.,B
1371,oh thanks michael for your computer.,S
